"","X","Y","HealthFacilityIDNumber","FacilityCategory","BusinessName","AddrNum","AddrNumSuffix","StreetName","StreetType","PostDir","Unit","City","State","County","ZipCode","APN","Ward","Neighborhood","Latitude","Longitude","X_WebMercator","Y_WebMercator"
"1",-10385671.6773,5614860.0823,"LIC25555","GROCERY","KOWALSKIS UPTOWN MARKET",2440,"","HENNEPIN","AVE","","","Minneapolis","MN","Hennepin",55405,"3302924130065",7,"East Isles",44.95767,-93.29608,-10385671.6773,5614860.0823
"2",-10388248.0289,5607704.7039,"LIC50064","GROCERY","VINAIGRETTE",5006,"","XERXES","AVE","S","","Minneapolis","MN","Hennepin",55410,"1702824310065",13,"Fulton",44.91217,-93.31922,-10388248.0289,5607704.7039
"3",-10385595.842,5613079.2551,"LIC51809","FOODSHELF","JOYCE FOOD SHELF",1219,"","31ST","ST","W","","Minneapolis","MN","Hennepin",55408,"0402824120101",10,"South Uptown",44.94635,-93.29539,-10385595.842,5613079.2551
"4",-10380187.6034,5624355.3238,"LIC53056","FOODSHELF","SALVATION ARMY - NEED",2733,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1202924220193",1,"Audubon Park",45.018,-93.24681,-10380187.6034,5624355.3238
"5",-10385666.5894,5619950.6481,"LIC48531","GROCERY","JIMMYS FOOD",1121,"","12TH","AVE","N","","Minneapolis","MN","Hennepin",55411,"2102924120121",5,"Near - North",44.99002,-93.29603,-10385666.5894,5619950.6481
"9",-10385960.1103,5613230.2959,"LIC30064","GROCERY","PENZEYS SPICES",3028,"","HENNEPIN","AVE","","","Minneapolis","MN","Hennepin",55408,"0402824210071",10,"East Bde Maka Ska",44.94731,-93.29867,-10385960.1103,5613230.2959
"10",-10383697.6707,5613995.8422,"LIC385073","GROCERY","COLONIAL MARKET",2750,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55408,"3402924310115",10,"Whittier",44.95218,-93.27834,-10383697.6707,5613995.8422
"14",-10383702.8174,5614705.0225,"LIC380685","GROCERY","TT MARKET",2520,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55404,"3402924240094",10,"Whittier",44.95669,-93.27839,-10383702.8174,5614705.0225
"17",-10383601.8641,5614337.0618,"LIC47876","GROCERY","DAI LOI GROCERY STORE",2635,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55408,"3402924420468",10,"Whittier",44.95435,-93.27748,-10383601.8641,5614337.0618
"21",-10381341.7391,5613435.5121,"LIC39841","GROCERY","COMMUNITY HALAAL GROCERY",1204,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"3502924430040",9,"Midtown Phillips",44.94861,-93.25718,-10381341.7391,5613435.5121
"25",-10389203.7827,5613449.3064,"LIC49791","GROCERY","NORTHERN TIER RETAIL LLC",3806,"","LAKE","ST","W","","Minneapolis","MN","Hennepin",55416,"3202924330164",7,"Cedar - Isles - Dean",44.9487,-93.32781,-10389203.7827,5613449.3064
"31",-10382959.1327,5618324.5201,"LIC44727","GROCERY","LUMBER EXPRESS MARKET",10,"","5TH","ST","S","GROUND FLR","Minneapolis","MN","Hennepin",55401,"2202924440106",7,"Downtown West",44.97969,-93.27171,-10382959.1327,5618324.5201
"32",-10382803.3445,5614190.0734,"LIC39863","GROCERY","COMPASS GROUP USA, INC",2701,"","WELLS FARGO","WAY","","","Minneapolis","MN","Hennepin",55408,"3402924410104",6,"Phillips West",44.95341,-93.27031,-10382803.3445,5614190.0734
"33",-10385417.5561,5613586.2498,"LIC371285","GROCERY","CUB FOODS # 1693",1104,"","LAGOON","AVE","","","Minneapolis","MN","Hennepin",55408,"3302924430054",10,"Lowry Hill East",44.94957,-93.29379,-10385417.5561,5613586.2498
"34",-10383605.2248,5611245.7537,"LIC392571","GROCERY","COLONIAL MARKET",3733,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55409,"0302824430148",8,"King Field",44.93469,-93.27751,-10383605.2248,5611245.7537
"39",-10380198.5936,5616352.9597,"LIC47190","GROCERY","AFRIK GROCERY",613,"","CEDAR","AVE","S","101","Minneapolis","MN","Hennepin",55454,"2502924320614",6,"Cedar Riverside",44.96716,-93.24691,-10380198.5936,5616352.9597
"40",-10384390.5735,5613348.4602,"LIC40699","GROCERY","LJ MULTISERVICES",403,"","LAKE","ST","W","","Minneapolis","MN","Hennepin",55408,"0302824220215",8,"Lyndale",44.94806,-93.28457,-10384390.5735,5613348.4602
"46",-10387031.8559,5604938.838,"LIC30037","GROCERY","PENN SUPER USA",5965,"","PENN","AVE","S","","Minneapolis","MN","Hennepin",55419,"2102824320010",13,"Armatage",44.89457,-93.30829,-10387031.8559,5604938.838
"49",-10381386.3442,5616547.1615,"LIC28747","GROCERY","EAST VILLAGE MARKET",1431,"","11TH","AVE","S","","Minneapolis","MN","Hennepin",55404,"2602924310131",6,"Elliot Park",44.96839,-93.25758,-10381386.3442,5616547.1615
"51",-10377573.21,5605553.3369,"LIC43851","GROCERY","CROSSTOWN MARKET",5750,"","34TH","AVE","S","","Minneapolis","MN","Hennepin",55417,"1902823230100",11,"Wenonah",44.89848,-93.22333,-10377573.21,5605553.3369
"58",-10377570.3631,5606583.8291,"LIC45273","GROCERY","NOKOMIS MARKET",3319,"","54TH","ST","E","","Minneapolis","MN","Hennepin",55417,"1902823220159",11,"Wenonah",44.90504,-93.2233,-10377570.3631,5606583.8291
"64",-10384822.2002,5615484.0674,"LIC49258","GROCERY","NUTRITION CITY",2108,"","LYNDALE","AVE","S","","Minneapolis","MN","Hennepin",55405,"3302924110181",10,"Lowry Hill East",44.96164,-93.28845,-10384822.2002,5615484.0674
"65",-10383707.9331,5611103.7093,"LIC50486","FOODSHELF","ALIVENESS PROJECT",3808,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55409,"1002824210228",8,"King Field",44.93379,-93.27844,-10383707.9331,5611103.7093
"66",-10378939.8226,5618738.3572,"LIC26667","GROCERY","TARGET EXPRESS #T3200",1329,"","5TH","ST","SE","","Minneapolis","MN","Hennepin",55414,"2402924420135",2,"Marcy Holmes",44.98232,-93.2356,-10378939.8226,5618738.3572
"68",-10382955.8109,5611281.1768,"LIC49623","FOODSHELF","SABATHANI FOOD SHELF",310,"","38TH","ST","E","","Minneapolis","MN","Hennepin",55409,"0302824440214",8,"Central",44.93491,-93.27167,-10382955.81088,5611281.17681
"77",-10384171.4865,5611086.636,"LIC40684","FOODSHELF","INCARNATION",3817,"","PLEASANT","AVE","","","Minneapolis","MN","Hennepin",55409,"1002824210088",8,"King Field",44.93368,-93.2826,-10384171.4865,5611086.636
"81",-10383816.4634,5618155.2386,"LIC53051","FOODSHELF","SALVATION ARMY - CCO",53,"","GLENWOOD","AVE","","","Minneapolis","MN","Hennepin",55403,"2202924340127",7,"Downtown West",44.97861,-93.27941,-10383816.4634,5618155.2386
"83",-10381503.8522,5615804.4968,"LIC39821","FOODSHELF","COMMUNITY EMERGENCY SERVICES",1900,"","11TH","AVE","S","","Minneapolis","MN","Hennepin",55404,"2602924340111",6,"Ventura Village",44.96367,-93.25864,-10381503.8522,5615804.4968
"85",-10382976.2245,5617381.6686,"LIC39428","GROCERY","BILLY & MARTYS",900,"","2ND","AVE","S","","Minneapolis","MN","Hennepin",55402,"2702924110160",7,"Downtown West",44.9737,-93.27186,-10382976.2245,5617381.6686
"91",-10380852.3385,5611117.5058,"LIC30559","GROCERY","TESORO EZ SHOP",3800,"","BLOOMINGTON","AVE","","","Minneapolis","MN","Hennepin",55407,"1102824120001",8,"Bancroft",44.93388,-93.25278,-10380852.3385,5611117.5058
"93",-10379219.4126,5615608.7581,"LIC26620","GROCERY","SHABELLE GROCERY",2325,"","FRANKLIN","AVE","E","","Minneapolis","MN","Hennepin",55406,"3602924210418",6,"Seward",44.96243,-93.23811,-10379219.4126,5615608.7581
"98",-10384897.3417,5613349.0109,"LIC39402","GROCERY","BILLS IMPORTED FOODS",721,"","LAKE","ST","W","","Minneapolis","MN","Hennepin",55408,"0402824110187",10,"South Uptown",44.94806,-93.28912,-10384897.3417,5613349.0109
"101",-10383923.2216,5617491.1075,"LIC392250","GROCERY","LUNDS & BYERLYS - DOWNTOWN MPLS",1201,"","HENNEPIN","AVE","","","Minneapolis","MN","Hennepin",55403,"2702924210080",7,"Loring Park",44.97439,-93.28037,-10383923.2216,5617491.1075
"102",-10383963.1971,5613439.4811,"LIC30475","GROCERY","TAWAKAL HALAL",120,"","LAKE","ST","W","","Minneapolis","MN","Hennepin",55408,"3402924340022",10,"Whittier",44.94864,-93.28073,-10383963.1971,5613439.4811
"109",-10384903.4291,5618561.0913,"LIC376001","GROCERY","INTERNATIONAL MARKET SQUARE",275,"","MARKET","ST","","","Minneapolis","MN","Hennepin",55405,"2102924449000",5,"Sumner - Glenwood",44.98119,-93.28917,-10384903.4291,5618561.0913
"110",-10379028.168,5615617.4901,"LIC26583","GROCERY","SEWARD MARKET",2431,"","FRANKLIN","AVE","E","","Minneapolis","MN","Hennepin",55406,"3602924120194",6,"Seward",44.96249,-93.2364,-10379028.168,5615617.4901
"116",-10384083.934,5616300.4944,"LIC49313","GROCERY","OAK GROVE GROCERY",218,"","OAK GROVE","ST","","","Minneapolis","MN","Hennepin",55403,"2702924310017",7,"Loring Park",44.96683,-93.28181,-10384083.934,5616300.4944
"117",-10384722.3098,5621504.0152,"LIC53058","FOODSHELF","SALVATION ARMY - PARKVIEW NORTH",2024,"","LYNDALE","AVE","N","","Minneapolis","MN","Hennepin",55411,"1502924230163",5,"Hawthorne",44.99989,-93.28755,-10384722.3098,5621504.0152
"118",-10381890.0848,5610827.9919,"LIC44140","FOODSHELF","FOOD SHELF",3901,"","CHICAGO","AVE","","","Minneapolis","MN","Hennepin",55407,"1102824210132",8,"Bancroft",44.93203,-93.26211,-10381890.0848,5610827.9919
"119",-10380188.4348,5611118.2736,"LIC36200","GROCERY","EVERETT'S FOOD",1833,"","38TH","ST","E","","Minneapolis","MN","Hennepin",55407,"1202824220092",12,"Standish",44.93388,-93.24682,-10380188.4348,5611118.2736
"122",-10379012.2606,5613551.3305,"LIC26841","GROCERY","TARGET STORE  #T0052",2500,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55406,"3602924430084",9,"Longfellow",44.94935,-93.23625,-10379012.2606,5613551.3305
"125",-10383324.6642,5617553.06,"LIC352864","GROCERY","HASKELL'S",81,"","9TH","ST","S","130","Minneapolis","MN","Hennepin",55402,"2702924120181",7,"Downtown West",44.97479,-93.27499,-10383324.6642,5617553.06
"126",-10378528.0859,5615618.9062,"LIC40895","GROCERY","LOS CAMPEONES",2721,"","FRANKLIN","AVE","E","","Minneapolis","MN","Hennepin",55406,"3602924110182",6,"Seward",44.96249,-93.2319,-10378528.0859,5615618.9062
"127",-10378503.0149,5609986.0521,"LIC24605","GROCERY","DOKKEN SUPERETTE",2809,"","42ND","ST","E","","Minneapolis","MN","Hennepin",55406,"1202824410238",12,"Ericsson",44.92668,-93.23168,-10378503.0149,5609986.0521
"137",-10378036.9003,5612052.1973,"LIC40115","GROCERY","FAMILY FOOD",3469,"","MINNEHAHA","AVE","","","Minneapolis","MN","Hennepin",55406,"0102824410007",12,"Howe",44.93982,-93.22749,-10378036.9003,5612052.1973
"140",-10378946.2468,5613890.4502,"LIC43938","GROCERY","CUB FOODS - LAKE ST",2850,"","26TH","AVE","S","","Minneapolis","MN","Hennepin",55406,"3602924430088",9,"Longfellow",44.95151,-93.23566,-10378946.2468,5613890.4502
"141",-10384335.0842,5611128.5536,"LIC26573","GROCERY","SEWARD COMMUNITY CO-OP",317,"","38TH","ST","E","","Minneapolis","MN","Hennepin",NA,"1002824220115",8,"King Field",44.93395,-93.28407,-10384335.0842,5611128.5536
"143",-10378581.967,5613585.2715,"LIC369619","GROCERY","ALDI FOODS",2929,"","27TH","AVE","S","","Minneapolis","MN","Hennepin",55406,"3602924430104",9,"Longfellow",44.94956,-93.23238,-10378581.96696,5613585.2715
"144",-10380450.5578,5616762.2946,"LIC46069","GROCERY","SUPER PLAZA HALAL FOOD",1525,"","4TH","ST","S","","Minneapolis","MN","Hennepin",55454,"2602924410002",6,"Cedar Riverside",44.96976,-93.24917,-10380450.5578,5616762.2946
"148",-10384729.3671,5606671.5576,"LIC25546","GROCERY","KOWALSKIS LYNDALE MARKETS",5327,"","LYNDALE","AVE","S","","Minneapolis","MN","Hennepin",55419,"1502824330072",11,"Tangletown",44.90559,-93.28761,-10384729.3671,5606671.5576
"149",-10384906.6556,5621247.7152,"LIC390109","GROCERY","CUB FOODS #1569",701,"","WEST BROADWAY","","","","Minneapolis","MN","Hennepin",55411,"1602924410155",5,"Near - North",44.99826,-93.2892,-10384906.6556,5621247.7152
"150",-10378668.7733,5611125.2679,"LIC376841","GROCERY","TARE MARKET",2701,"","38TH","ST","E","","Minneapolis","MN","Hennepin",55406,"1202824120027",12,"Standish",44.93392,-93.23317,-10378668.7733,5611125.2679
"151",-10385387.8532,5615342.4638,"LIC53406","GROCERY","TAO NATURAL FOODS",2200,"","DUPONT","AVE","S","","Minneapolis","MN","Hennepin",55405,"3302924120188",7,"East Isles",44.96074,-93.29353,-10385387.8532,5615342.4638
"152",-10384818.0661,5624697.2861,"LIC49127","GROCERY","NORTHSIDE FOOD MARKET",3559,"","LYNDALE","AVE","N","","Minneapolis","MN","Hennepin",55412,"0902924110110",4,"McKinley",45.02017,-93.28841,-10384818.0661,5624697.2861
"156",-10380864.7132,5613327.4251,"LIC374943","GROCERY","ISABELLA'S GROCERY LLC",1515,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0202824120277",9,"Powderhorn Park",44.94793,-93.25289,-10380864.7132,5613327.4251
"158",-10380772.2121,5613441.1688,"LIC49874","GROCERY","SUPERMERCADO LA MEXICANA",1522,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"3502924440220",9,"East Phillips",44.94865,-93.25206,-10380772.2121,5613441.1688
"163",-10378348.6982,5615604.7361,"LIC26563","GROCERY","SEWARD CO-OP",2823,"","FRANKLIN","AVE","E","","Minneapolis","MN","Hennepin",55406,"3602924110181",6,"Seward",44.9624,-93.23029,-10378348.6982,5615604.7361
"164",-10382921.953,5617930.624,"LIC371432","GROCERY","GAVIIDAE EXPRESS",651,"","NICOLLET MALL","","","","Minneapolis","MN","Hennepin",55402,"2202924449001",7,"Downtown West",44.97719,-93.27137,-10382921.953,5617930.624
"168",-10385527.3771,5614351.3752,"LIC36002","GROCERY","EMERSON FOOD MARKET",2628,"","EMERSON","AVE","N","","Minneapolis","MN","Hennepin",55411,"3302924420040",10,"Lowry Hill East",44.95444,-93.29478,-10385527.3771,5614351.3752
"169",-10380994.2332,5613359.5412,"LIC46061","GROCERY","SUPER MERCADO MORELIA LLC",1417,"","LAKE","ST","E","1ST FL","Minneapolis","MN","Hennepin",55407,"0202824120103",9,"Powderhorn Park",44.94813,-93.25406,-10380994.2332,5613359.5412
"170",-10376575.5324,5617011.9321,"LIC365687","GROCERY","FRESH THYME FARMERS MARKET",24,"","30TH","AVE","SE","","Minneapolis","MN","Hennepin",55414,"3002923130029",2,"Prospect Park - East River Road",44.97135,-93.21436,-10376575.5324,5617011.9321
"171",-10380150.3434,5622533.9429,"LIC26496","FOODSHELF","SENIOR FOOD SHELF",1801,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1202924330192",1,"Windom Park",45.00643,-93.24648,-10380150.3434,5622533.9429
"172",-10383701.7193,5614196.7376,"LIC30269","GROCERY","SHUANG HUR ORIENTAL INC",2710,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55408,"3402924310204",10,"Whittier",44.95345,-93.27838,-10383701.7193,5614196.7376
"174",-10381914.7534,5605930.5066,"LIC25551","GROCERY","KOWALSKIS PARKVIEW MARKET",5615,"","CHICAGO","AVE","","","Minneapolis","MN","Hennepin",55417,"2302824240189",11,"Diamond Lake",44.90088,-93.26233,-10381914.7534,5605930.5066
"176",-10377857.9072,5619564.872,"LIC48572","GROCERY","JOE'S MARKET",1828,"","COMO","AVE","SE","","Minneapolis","MN","Hennepin",55414,"1902923230121",2,"Como",44.98757,-93.22588,-10377857.9072,5619564.872
"177",-10382448.5375,5611195.6545,"LIC381860","GROCERY","TACOS EL KEVIN MARKET",3751,"","PORTLAND","AVE","","","Minneapolis","MN","Hennepin",55407,"0202824330224",8,"Central",44.93437,-93.26712,-10382448.5375,5611195.6545
"183",-10378896.5613,5614052.0526,"LIC52047","GROCERY","KATAR RIVER RESTAURANT & BAKERY",2751,"","MINNEHAHA","AVE","","","Minneapolis","MN","Hennepin",55406,"3602924420050",9,"Longfellow",44.95253,-93.23521,-10378896.5613,5614052.0526
"185",-10377446.065,5617299.2545,"LIC28239","GROCERY","CASPIAN MARKET PLACE",2418,"","UNIVERSITY","AVE","SE","","Minneapolis","MN","Hennepin",55414,"3002923240061",2,"Prospect Park - East River Road",44.97317,-93.22218,-10377446.065,5617299.2545
"188",-10377175.1787,5616681.6873,"LIC51650","FOODSHELF","GLENDALE FOOD SHELF",92,"","SAINT MARYS","AVE","","","Minneapolis","MN","Hennepin",55414,"3002923310003",2,"Prospect Park - East River Road",44.96925,-93.21975,-10377175.1787,5616681.6873
"189",-10383725.4856,5615802.9871,"LIC28894","FOODSHELF","GROVELAND FOOD SHELF",1900,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55403,"2702924340061",7,"Steven's Square - Loring Heights",44.96366,-93.27859,-10383725.4856,5615802.9871
"192",-10380276.3664,5616781.9809,"LIC29012","GROCERY","HALAL MINI MARKET",410,"","CEDAR","AVE","S","","Minneapolis","MN","Hennepin",55454,"2602924140077",6,"Cedar Riverside",44.96989,-93.24761,-10380276.3664,5616781.9809
"198",-10376466.8832,5616903.9645,"LIC30516","FOODSHELF","TEAMSTERS HELPING TEAMSTERS FOOD",3001,"","UNIVERSITY","AVE","SE","SUITE 510","Minneapolis","MN","Hennepin",55414,"3002923130042",2,"Prospect Park - East River Road",44.97066,-93.21339,-10376466.8832,5616903.9645
"199",-10381161.1641,5615583.5832,"LIC50430","GROCERY","ALDI FOODS #67",1311,"","FRANKLIN","AVE","E","","Minneapolis","MN","Hennepin",55404,"3502924120287",6,"Ventura Village",44.96226,-93.25555,-10381161.16414,5615583.5832
"201",-10376725.4301,5608745.2323,"LIC377672","GROCERY","CUB FOODS #1587",4601,"","SNELLING","AVE","","","Minneapolis","MN","Hennepin",55406,"1802823120093",12,"Hiawatha",44.91879,-93.21571,-10376725.4301,5608745.2323
"202",-10385663.3216,5625339.069,"LIC46079","GROCERY","SUPER USA",3807,"","FREMONT","AVE","N","","Minneapolis","MN","Hennepin",55412,"0402924420019",4,"Webber - Camden",45.02424,-93.296,-10385663.3216,5625339.069
"204",-10380465.1032,5613441.5524,"LIC41937","GROCERY","STOP-N-SHOP #4",1700,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"3502924440221",9,"East Phillips",44.94865,-93.2493,-10380465.1032,5613441.5524
"206",-10380186.8196,5623676.0529,"LIC36509","GROCERY","HOLY LAND BRAND",2513,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1202924230126",1,"Audubon Park",45.01368,-93.2468,-10380186.8196,5623676.0529
"210",-10386382.7397,5613349.8122,"LIC44360","GROCERY","INGEBRETSEN'S SCANDINAVIAN FOODS",1601,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0402824210033",10,"East Bde Maka Ska",44.94807,-93.30246,-10386382.7397,5613349.8122
"212",-10381989.6526,5612553.7328,"LIC394097","GROCERY","SOUTHSIDE HALAL FOOD STORE",3300,"","CHICAGO","AVE","","","Minneapolis","MN","Hennepin",55407,"0202824230245",9,"Central",44.94301,-93.263,-10381989.6526,5612553.7328
"215",-10382737.7972,5618967.0712,"LIC39913","GROCERY","COOKS OF CROCUS HILL",208,"","1ST","ST","N","","Minneapolis","MN","Hennepin",55401,"2202924410104",3,"North Loop",44.98377,-93.26972,-10382737.7972,5618967.0712
"217",-10381904.9339,5612846.134,"LIC395862","GROCERY","AMIGOS ONE STOP",3159,"","CHICAGO","AVE","","","Minneapolis","MN","Hennepin",55407,"0202824240076",9,"Powderhorn Park",44.94487,-93.26224,-10381904.9339,5612846.134
"220",-10380190.9652,5624501.5832,"LIC29689","GROCERY","MIRASOL EXPRESS",2801,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1202924220189",1,"Audubon Park",45.01893,-93.24684,-10380190.9652,5624501.5832
"221",-10385123.638,5629310.5413,"LIC26198","GROCERY","PANTRY FOOD MARKET",5200,"","BRYANT","AVE","N","","Minneapolis","MN","Hennepin",55430,"1211821210081",4,"Lind - Bohanon",45.04946,-93.29115,-10385123.638,5629310.5413
"223",-10384085.6827,5613367.8189,"LIC396838","GROCERY","LAKE STREET MARKET INC",201,"","LAKE","ST","W","","Minneapolis","MN","Hennepin",55408,"0302824210014",8,"Lyndale",44.94818,-93.28183,-10384085.6827,5613367.8189
"229",-10386361.166,5623645.8233,"LIC24934","GROCERY","GOOD DEAL ORIENTAL FOODS",1800,"","LOWRY","AVE","N","","Minneapolis","MN","Hennepin",55411,"0902924240217",4,"Folwell",45.01349,-93.30227,-10386361.166,5623645.8233
"234",-10383149.6499,5619372.2292,"LIC394104","GROCERY","5TH AVE MARKET",201,"","5TH","AVE","N","","Minneapolis","MN","Hennepin",55401,"2202924139006",3,"North Loop",44.98635,-93.27342,-10383149.6499,5619372.2292
"235",-10383577.865,5613205.1246,"LIC395795","GROCERY","STOP N SHOP",3050,"","1ST","AVE","S","","Minneapolis","MN","Hennepin",55408,"0302824120162",8,"Lyndale",44.94715,-93.27727,-10383577.865,5613205.1246
"241",-10379531.3001,5613554.8694,"LIC396230","GROCERY","BURLINGTON",2124,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"3602924340074",9,"East Phillips",44.94937,-93.24092,-10379531.3001,5613554.8694
"242",-10378512.4869,5622288.4267,"LIC43925","GROCERY","CUB FOODS #6692",1540,"","NEW BRIGHTON","BLVD","","","Minneapolis","MN","Hennepin",55413,"1302924110031",1,"Northeast Park",45.00487,-93.23176,-10378512.4869,5622288.4267
"243",-10383035.7557,5615814.205,"LIC352623","GROCERY","THIRD AVE MARKET",1905,"","3RD","AVE","S","","Minneapolis","MN","Hennepin",55404,"2702924440095",6,"Steven's Square - Loring Heights",44.96374,-93.2724,-10383035.7557,5615814.205
"253",-10384730.8014,5614449.0221,"LIC375858","GROCERY","ALDI #69",2601,"","LYNDALE","AVE","S","","Minneapolis","MN","Hennepin",55408,"3402924329008",NA,"",44.95505,-93.28762,-10384730.80144,5614449.02213
"254",-10382661.5713,5618838.7925,"LIC53814","GROCERY","WHOLE FOODS MARKET",222,"","HENNEPIN","AVE","","A","Minneapolis","MN","Hennepin",55401,"2202924410131",3,"North Loop",44.98296,-93.26904,-10382661.5713,5618838.7925
"255",-10382503.6977,5617885.9847,"LIC39421","GROCERY","BILLY & MARTYS",220,"","6TH","ST","S","","Minneapolis","MN","Hennepin",55402,"2702924110084",7,"Downtown West",44.9769,-93.26762,-10382503.6977,5617885.9847
"256",-10382189.683,5613359.8302,"LIC389253","GROCERY","EL CHUCHI MARKET",707,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0202824220192",9,"Central",44.94813,-93.2648,-10382189.683,5613359.8302
"257",-10380857.7415,5614489.2122,"LIC52427","GROCERY","MECCA MEAT & GROCERY STORE",2600,"","BLOOMINGTON","AVE","","","Minneapolis","MN","Hennepin",55407,"3502924420286",9,"Midtown Phillips",44.95531,-93.25283,-10380857.7415,5614489.2122
