"","X","Y","HealthFacilityIDNumber","FacilityCategory","BusinessName","AddrNum","AddrNumSuffix","StreetName","StreetType","PostDir","Unit","City","State","County","ZipCode","APN","Ward","Neighborhood","Latitude","Longitude","X_WebMercator","Y_WebMercator"
"260",-10384726.927,5615465.7933,"LIC361178","GROCERY","WEDGE COMMUNITY CO-OP",2105,"","LYNDALE","AVE","S","","Minneapolis","MN","Hennepin",55405,"3402924220276",10,"Whittier",44.96152,-93.28759,-10384726.927,5615465.7933
"270",-10380857.7415,5614489.2122,"LIC383766","GROCERY","FIVE STAR MARKET",2606,"","BLOOMINGTON","AVE","","","Minneapolis","MN","Hennepin",55407,"3502924420286",9,"Midtown Phillips",44.95531,-93.25283,-10380857.7415,5614489.2122
"276",-10380770.2472,5612028.7215,"LIC53126","GROCERY","SAMS MARKET AND MEAT INC",1532,"","35TH","ST","E","","Minneapolis","MN","Hennepin",55407,"0202824410047",9,"Powderhorn Park",44.93967,-93.25205,-10380770.2472,5612028.7215
"281",-10382556.5484,5615590.906,"LIC25796","GROCERY","MIDWEST MARKET & HALAL",2000,"","PORTLAND","AVE","","","Minneapolis","MN","Hennepin",55404,"3402924110165",6,"Ventura Village",44.96232,-93.26809,-10382556.5484,5615590.906
"285",-10380201.5453,5616480.7639,"LIC50213","GROCERY","WADAJIR GROCERY AND MEAT MARKET",525,"","CEDAR","AVE","S","","Minneapolis","MN","Hennepin",55454,"2502924320612",6,"Cedar Riverside",44.96797,-93.24694,-10380201.5453,5616480.7639
"288",-10382889.9208,5617494.4889,"LIC360813","GROCERY","THE CITY MARKET",121,"","8TH","ST","S","270","Minneapolis","MN","Hennepin",55402,"2702924110080",7,"Downtown West",44.97441,-93.27109,-10382889.9208,5617494.4889
"289",-10380607.0898,5616700.6608,"LIC36922","FOODSHELF","LITTLE KITCHEN FOOD SHELF",1500,"","6TH","ST","NE","","Minneapolis","MN","Hennepin",55413,"2602924410062",NA,"",44.96936,-93.25057,-10380607.0898,5616700.6608
"290",-10380773.7837,5613986.406,"LIC46067","GROCERY","SUPER MORE VALUE",2747,"","BLOOMINGTON","AVE","","","Minneapolis","MN","Hennepin",55407,"3502924410022",9,"East Phillips",44.95212,-93.25208,-10380773.7837,5613986.406
"294",-10380238.9083,5619011.2951,"LIC374239","GROCERY","MR SANTANA",601,"","UNIVERSITY","AVE","SE","","Minneapolis","MN","Hennepin",55414,"2402924320086",3,"Marcy Holmes",44.98405,-93.24727,-10380238.9083,5619011.2951
"300",-10382555.192,5618079.8621,"LIC48080","GROCERY","FRESH MARKET",150,"","5TH","ST","S","265","Minneapolis","MN","Hennepin",55402,"2202924440101",7,"Downtown West",44.97813,-93.26808,-10382555.192,5618079.8621
"303",-10381224.5575,5619705.4305,"LIC49898","GROCERY","SURDYK'S",303,"","HENNEPIN","AVE","E","","Minneapolis","MN","Hennepin",55414,"2302924120110",3,"Nicollet Island - East Bank",44.98846,-93.25613,-10381224.5575,5619705.4305
"316",-10383605.7217,5615894.9251,"LIC361158","GROCERY","NET SUPER MARKET",1845,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55403,"2702924430019",6,"Steven's Square - Loring Heights",44.96425,-93.27752,-10383605.7217,5615894.9251
"320",-10384316.6648,5613933.8467,"LIC48213","GROCERY","GAB HALAL MARKET",2801,"","GRAND","AVE","S","","Minneapolis","MN","Hennepin",55408,"3402924330025",10,"Whittier",44.95178,-93.2839,-10384316.6648,5613933.8467
"321",-10386297.3316,5621474.2253,"LIC52722","GROCERY","ONE STOP",1604,"","WEST BROADWAY","","","","Minneapolis","MN","Hennepin",55411,"1602924240149",5,"Jordan",44.9997,-93.3017,-10386297.3316,5621474.2253
"324",-10385922.2296,5627154.5654,"LIC361301","GROCERY","NORTH MARKET",4414,"","HUMBOLDT","AVE","N","","Minneapolis","MN","Hennepin",55412,"1311821220012",4,"Webber - Camden",45.03577,-93.29833,-10385922.2296,5627154.5654
"328",-10380189.6071,5622647.043,"LIC36907","GROCERY","LITTLE INDIA INTERNATIONAL MARKET",1835,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1202924330216",1,"Windom Park",45.00715,-93.24683,-10380189.6071,5622647.043
"330",-10382209.6587,5618723.5593,"LIC24829","GROCERY","DOWNTOWN MARKET",150,"","2ND","AVE","S","","Minneapolis","MN","Hennepin",55401,"2302924320011",3,"Downtown West",44.98222,-93.26498,-10382209.6587,5618723.5593
"332",-10380186.9645,5623805.2938,"LIC28782","GROCERY","EASTSIDE FOOD COOPERATIVE",2551,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1202924230210",1,"Audubon Park",45.01451,-93.24681,-10380186.9645,5623805.2938
"333",-10377573.2054,5611134.4606,"LIC49717","GROCERY","SUPER USA",3801,"","MINNEHAHA","AVE","","","Minneapolis","MN","Hennepin",55406,"0702823220011",12,"Howe",44.93398,-93.22333,-10377573.2054,5611134.4606
"338",-10385437.01,5623624.7107,"LIC28668","GROCERY","E & L SUPERMARKET & DELI",1122,"","LOWRY","AVE","N","","Minneapolis","MN","Hennepin",55411,"0902924130170",4,"Folwell",45.01336,-93.29397,-10385437.01,5623624.7107
"342",-10383607.2455,5612897.9339,"LIC28209","GROCERY","CARNICERIA VALERIES",3149,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55408,"0302824120172",8,"Lyndale",44.9452,-93.27753,-10383607.2455,5612897.9339
"343",-10378262.9418,5622252.83,"LIC26850","GROCERY","TARGET STORES  #T1095",1650,"","NEW BRIGHTON","BLVD","","","Minneapolis","MN","Hennepin",55413,"1302924110033",1,"Northeast Park",45.00465,-93.22952,-10378262.9418,5622252.83
"345",-10382704.2259,5613306.1034,"LIC28195","GROCERY","CARNICERIA LA HUAZTECA",419,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55408,"0302824110232",8,"Central",44.94779,-93.26942,-10382704.2259,5613306.1034
"357",-10380582.7713,5613351.7786,"LIC386163","GROCERY","TORTILLERIA & TIENDA LA POBLANITA",1617,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0202824110135",9,"Powderhorn Park",44.94808,-93.25036,-10380582.7713,5613351.7786
"363",-10383597.987,5615076.8682,"LIC29128","GROCERY","HARK'S NICOLLET",2401,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55404,"3402924130023",10,"Whittier",44.95905,-93.27745,-10383597.987,5615076.8682
"368",-10386564.5095,5613369.8513,"LIC359366","GROCERY","DAY 2 DAY",1715,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0402824220014",10,"East Bde Maka Ska",44.9482,-93.3041,-10386564.5095,5613369.8513
"369",-10380294.0012,5612227.9933,"LIC362912","GROCERY","LA MORENITA SUPERMERCADO",3408,"","CEDAR","AVE","S","","Minneapolis","MN","Hennepin",55407,"0202824410121",9,"Powderhorn Park",44.94094,-93.24777,-10380294.0012,5612227.9933
"372",-10378512.4869,5622288.4267,"LIC25739","GROCERY","MICHAELS STORES #1178",1620,"","NEW BRIGHTON","BLVD","","","Minneapolis","MN","Hennepin",55413,"1302924110031",1,"Northeast Park",45.00487,-93.23176,-10378512.4869,5622288.4267
"373",-10387004.7468,5618445.5378,"LIC30045","GROCERY","PENNWOOD MARKET",2125,"","GLENWOOD","AVE","","","Minneapolis","MN","Hennepin",55405,"2102924330114",5,"Harrison",44.98046,-93.30805,-10387004.7468,5618445.5378
"375",-10382269.7063,5617173.3459,"LIC364247","GROCERY","KRAUS ANDERSON",525,"","8TH","ST","S","","Minneapolis","MN","Hennepin",55404,"2602924230098",NA,"",44.97236,-93.2655,-10382269.7063,5617173.3459
"376",-10382347.8927,5617379.5154,"LIC30754","GROCERY","THE FRESH MARKET",425,"","7TH","ST","S","","Minneapolis","MN","Hennepin",55415,"2602924229000",7,"Downtown West",44.97368,-93.26622,-10382347.8927,5617379.5154
"389",-10376375.743,5621706.0271,"LIC360302","GROCERY","BROADWAY PLACE EAST",3433,"","BROADWAY","ST","NE","","Minneapolis","MN","Hennepin",55413,"1802923140007",1,"Mid - City Industrial",45.00117,-93.21257,-10376375.743,5621706.0271
"390",-10382974.6188,5615695.2314,"LIC373954","GROCERY","CLINTON HALAL MEAT",1930,"","CLINTON","AVE","","","Minneapolis","MN","Hennepin",55404,"2702924440090",6,"Steven's Square - Loring Heights",44.96298,-93.27185,-10382974.6188,5615695.2314
"391",-10381962.8856,5623144.388,"LIC396832","GROCERY","SUNNY'S MARKET & DELI",2207,"","UNIVERSITY","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1102924320142",1,"Holland",45.01031,-93.26276,-10381962.8856,5623144.388
"392",-10385518.6178,5623503.083,"LIC34225","GROCERY","SO LOW GROCERY OUTLET",3111,"","EMERSON","AVE","N","","Minneapolis","MN","Hennepin",55411,"0902924420027",5,"Jordan",45.01259,-93.2947,-10385518.6178,5623503.083
"394",-10387070.9292,5624775.8821,"LIC41403","GROCERY","QUICK STOP",3601,"","PENN","AVE","N","","Minneapolis","MN","Hennepin",55412,"0502924440100",4,"Cleveland",45.02067,-93.30865,-10387070.9292,5624775.8821
"396",-10385249.7118,5613359.0131,"LIC366315","FOODSHELF","DIVISION OF INDIAN WORK",1001,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0402824110088",10,"South Uptown",44.94813,-93.29229,-10385249.7118,5613359.0131
"399",-10381740.7002,5613544.6373,"LIC37456","GROCERY","PRODUCE EXCHANGE",920,"","LAKE","ST","E","131","Minneapolis","MN","Hennepin",55407,"3502924349000",9,"Midtown Phillips",44.94931,-93.26076,-10381740.7002,5613544.6373
"400",-10380828.7782,5615625.6712,"LIC390032","GROCERY","BLOOMINGTON MARKET LLC",1517,"","FRANKLIN","AVE","E","","Minneapolis","MN","Hennepin",55404,"3502924120002",6,"Ventura Village",44.96254,-93.25257,-10380828.7782,5615625.6712
"405",-10376640.5313,5621768.4775,"LIC360301","GROCERY","BROADWAY PLACE WEST",1300,"","GODWARD","ST","NE","","Minneapolis","MN","Hennepin",55413,"1802923130023",1,"Mid - City Industrial",45.00157,-93.21495,-10376640.5313,5621768.4775
"406",-10389277.5028,5609393.4344,"LIC44231","GROCERY","FRANCE 44 CHEESE SHOP- GROCERY",4351,"","FRANCE","AVE","S","","Minneapolis","MN","Hennepin",55410,"0802824330164",13,"Linden Hills",44.92291,-93.32847,-10389277.5028,5609393.4344
"410",-10384956.9472,5624459.4041,"LIC399179","FOODSHELF","ACE IN THE CITY",3501,"","ALDRICH","AVE","S","","Minneapolis","MN","Hennepin",55408,"0902924110069",4,"McKinley",45.01866,-93.28966,-10384956.9472,5624459.4041
"411",-10380210.7587,5613325.9108,"LIC35830","GROCERY","CITY MARKET & HALAL MEAT",1825,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0102824220132",9,"Corcoran",44.94792,-93.24702,-10380210.7587,5613325.9108
"414",-10388619.3581,5613274.1822,"LIC53809","GROCERY","WHOLE FOODS MARKET",3060,"","EXCELSIOR","BLVD","","","Minneapolis","MN","Hennepin",55416,"0502824210244",7,"West Maka Ska",44.94759,-93.32256,-10388619.3581,5613274.1822
"420",-10382836.4988,5612557.1825,"LIC45914","GROCERY","SUNSHINE FOODS",3300,"","4TH","AVE","S","","Minneapolis","MN","Hennepin",55408,"0302824140134",8,"Central",44.94303,-93.27061,-10382836.4988,5612557.1825
"428",-10387092.8056,5621285.9455,"LIC378253","FOODSHELF","NORTHPOINT HEALTH & WELLNESS CENTER INC",1835,"","PENN","AVE","N","","Minneapolis","MN","Hennepin",55411,"1702924419100",5,"Willard - Hay",44.9985,-93.30884,-10387092.80565,5621285.94553
"430",-10380579.7797,5616508.3455,"LIC28715","GROCERY","EAST AFRICA",620,"","16TH","AVE","S","22","Minneapolis","MN","Hennepin",55454,"2602924410043",6,"Cedar Riverside",44.96815,-93.25033,-10380579.7797,5616508.3455
"431",-10389273.7088,5609241.5927,"LIC361337","GROCERY","LINDEN HILLS CO-OP",3815,"","SUNNYSIDE","AVE","","","Minneapolis","MN","Hennepin",55410,"0802824330093",13,"Linden Hills",44.92194,-93.32843,-10389273.7088,5609241.5927
"447",-10382630.0399,5617958.2483,"LIC30760","GROCERY","THE FRESH MART",120,"","6TH","ST","S","219","Minneapolis","MN","Hennepin",55402,"2202924440063",7,"Downtown West",44.97736,-93.26875,-10382630.0399,5617958.2483
"448",-10383654.6578,5623026.35,"LIC380922","GROCERY","C & S VENDING COMPANY",60,"","28TH","AVE","N","","Minneapolis","MN","Hennepin",55411,"1002924310077",5,"Hawthorne",45.00956,-93.27796,-10383654.6578,5623026.35
"451",-10380306.8703,5623304.6152,"LIC33382","GROCERY","LATINO GROCERIES",2312,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1102924410156",1,"Holland",45.01133,-93.24788,-10380306.8703,5623304.6152
"452",-10381740.7002,5613544.6373,"LIC397289","GROCERY","OASIS FOODS CORP",920,"","LAKE","ST","E","145","Minneapolis","MN","Hennepin",55407,"3502924349000",9,"Midtown Phillips",44.94931,-93.26076,-10381740.7002,5613544.6373
"456",-10379622.1697,5615607.6296,"LIC399397","GROCERY","SHEWA, LLC",2111,"","FRANKLIN","AVE","E","","Minneapolis","MN","Hennepin",55404,"3602924210475",6,"Seward",44.96242,-93.24173,-10379622.1697,5615607.6296
"457",-10380197.6936,5616692.3026,"LIC53669","GROCERY","WEST BANK GROCERY",417,"","CEDAR","AVE","S","","Minneapolis","MN","Hennepin",55454,"2502924320618",6,"Cedar Riverside",44.96932,-93.2469,-10380197.6936,5616692.3026
"463",-10380579.7797,5616508.3455,"LIC47854","GROCERY","DAARA SALAAM GROCERY & HALAL MEAT",620,"","16TH","AVE","S","","Minneapolis","MN","Hennepin",55454,"2602924410043",6,"Cedar Riverside",44.96815,-93.25033,-10380579.7797,5616508.3455
"465",-10380618.0411,5613465.6999,"LIC399452","FOODSHELF","ISUROON",1600,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"3502924440128",9,"East Phillips",44.94881,-93.25068,-10380618.0411,5613465.6999
"467",-10381993.1436,5606580.1855,"LIC364539","GROCERY","JIM'S CHICAGO SERVICE",5400,"","CHICAGO","AVE","","","Minneapolis","MN","Hennepin",55417,"2302824220001",11,"Page",44.90501,-93.26303,-10381993.1436,5606580.1855
"468",-10384285.9388,5619398.4491,"LIC36267","FOODSHELF","HIGH RISE MOBILE FOOD SHELF",554,"","8TH","AVE","N","","Minneapolis","MN","Hennepin",55411,"2202924230082",5,"North Loop",44.98651,-93.28363,-10384285.9388,5619398.4491
"469",-10379738.1168,5619656.7769,"LIC32580","GROCERY","EIGHTH STREET MARKET",630,"","8TH","ST","SE","","Minneapolis","MN","Hennepin",55414,"2402924220108",3,"Marcy Holmes",44.98815,-93.24277,-10379738.1168,5619656.7769
"475",-10382535.2509,5618523.4164,"LIC399136","GROCERY","AH HERMEL",250,"","MARQUETTE","AVE","","","Minneapolis","MN","Hennepin",55401,"2202924410012",3,"Downtown West",44.98095,-93.2679,-10382535.2509,5618523.4164
"476",-10382983.6937,5613484.3018,"LIC393186","GROCERY","LA UNICA MARKET",2932,"","CLINTON","AVE","","","Minneapolis","MN","Hennepin",55408,"3402924440049",6,"Phillips West",44.94892,-93.27193,-10382983.6937,5613484.3018
"483",-10380169.3179,5621378.9574,"LIC398753","GROCERY","TARE MARKET",945,"","BROADWAY","ST","NE","","Minneapolis","MN","Hennepin",55413,"1302924230038",1,"Northeast Park",44.99909,-93.24665,-10380169.3179,5621378.9574
"484",-10382418.2694,5618084.7456,"LIC363109","GROCERY","EMERY",215,"","4TH","ST","S","","Minneapolis","MN","Hennepin",55401,"2302924330775",7,"Downtown West",44.97817,-93.26685,-10382418.2694,5618084.7456
"485",-10379712.6643,5614938.6107,"LIC42363","GROCERY","UNITED NOODLES",2015,"","24TH","ST","E","","Minneapolis","MN","Hennepin",55404,"3602924230064",2,"Seward",44.95817,-93.24255,-10379712.6643,5614938.6107
"487",-10384741.1185,5623617.0966,"LIC351665","GROCERY","LOWRY GROCERY & DELI",628,"","LOWRY","AVE","N","","Minneapolis","MN","Hennepin",55411,"1002924230142",4,"McKinley",45.01331,-93.28772,-10384741.1185,5623617.0966
"489",-10380616.2817,5613438.344,"LIC53060","FOODSHELF","SALVATION ARMY - SOUTH",1604,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"3502924440129",9,"East Phillips",44.94863,-93.25066,-10380616.2817,5613438.344
"497",-10380706.261,5613461.9742,"LIC28639","GROCERY","DURDUR BAKERY & GROCERY",1552,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"3502924440207",9,"East Phillips",44.94878,-93.25147,-10380706.261,5613461.9742
"502",-10382861.0626,5617894.0602,"LIC390059","GROCERY","C & S VENDING COMPANY",90,"","7TH","ST","S","","Minneapolis","MN","Hennepin",55402,"2702924110012",7,"Downtown West",44.97695,-93.27083,-10382861.0626,5617894.0602
"507",-10381333.9126,5615162.6928,"LIC33888","FOODSHELF","PILLSBURY UNITED COMM WAITE HOUSE",2323,"","11TH","AVE","S","","Minneapolis","MN","Hennepin",55404,"3502924120210",6,"Ventura Village",44.95959,-93.25711,-10381333.9126,5615162.6928
"510",-10381092.1401,5619758.0833,"LIC47044","GROCERY","AC STORE",401,"","HENNEPIN","AVE","","","Minneapolis","MN","Hennepin",55401,"2302924120072",3,"Nicollet Island - East Bank",44.9888,-93.25494,-10381092.1401,5619758.0833
"511",-10386981.5108,5621303.3658,"LIC50316","GROCERY","WALLY'S FOOD MARKET",1840,"","PENN","AVE","N","","Minneapolis","MN","Hennepin",55411,"1602924320101",5,"Willard - Hay",44.99861,-93.30784,-10386981.5108,5621303.3658
"515",-10381730.3133,5617802.0018,"LIC30689","GROCERY","THE CITY MARKET",600,"","4TH","ST","S","230","Minneapolis","MN","Hennepin",55415,"2602924219001",3,"Downtown East",44.97637,-93.26067,-10381730.3133,5617802.0018
"516",-10380292.6501,5614494.9653,"LIC28317","GROCERY","CEDAR FOOD & GRILL",2600,"","CEDAR","AVE","S","","Minneapolis","MN","Hennepin",55407,"3502924410054",9,"East Phillips",44.95535,-93.24776,-10380292.6501,5614494.9653
"525",-10379069.6651,5624129.4023,"LIC386719","GROCERY","SMART STOP",2651,"","JOHNSON","ST","NE","","Minneapolis","MN","Hennepin",55418,"1202924130017",1,"Audubon Park",45.01656,-93.23677,-10379069.6651,5624129.4023
"527",-10383561.6812,5623731.6049,"LIC399394","GROCERY","TAHER MARKET @ GAF",50,"","LOWRY","AVE","N","","Minneapolis","MN","Hennepin",55411,"1002924130002",4,"McKinley",45.01404,-93.27712,-10383561.6812,5623731.6049
"528",-10385015.5315,5623621.5425,"LIC41802","GROCERY","STARS FOOD MARKET",818,"","LOWRY","AVE","N","","Minneapolis","MN","Hennepin",55411,"0902924140209",4,"McKinley",45.01334,-93.29018,-10385015.5315,5623621.5425
"533",-10380202.9343,5611205.3457,"LIC346112","GROCERY","LUCY'S DELI",3749,"","CEDAR","AVE","S","","Minneapolis","MN","Hennepin",55407,"0102824330200",12,"Standish",44.93443,-93.24695,-10380202.9343,5611205.3457
"535",-10382757.7,5617460.3332,"LIC389501","FOODSHELF","ST. OLAF CATHOLIC CHURCH SAMARITAN MINISTRY FOOD SHELF",215,"","8TH","ST","S","","Minneapolis","MN","Hennepin",55402,"2702924110085",7,"Downtown West",44.9742,-93.2699,-10382757.7,5617460.3332
"540",-10382026.4928,5613340.5329,"LIC399481","FOODSHELF","CLUES",777,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0202824220201",9,"Central",44.94801,-93.26333,-10382026.4928,5613340.5329
"543",-10383597.4033,5615949.0874,"LIC47267","GROCERY","ONE STOP AFRICAN MARKET",1823,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55403,"2702924430121",6,"Steven's Square - Loring Heights",44.96459,-93.27744,-10383597.4033,5615949.0874
"544",-10381698.993,5615062.4446,"LIC401906","GROCERY","VILLAGE HALAL MARKET",2400,"","10TH","AVE","S","","Minneapolis","MN","Hennepin",55404,"3502924240172",9,"Midtown Phillips",44.95896,-93.26039,-10381698.993,5615062.4446
"547",-10376438.9966,5610857.8191,"LIC368006","GROCERY","REIDY FOOD MARKET",3904,"","42ND","AVE","S","","Minneapolis","MN","Hennepin",55406,"0702823120206",12,"Howe",44.93222,-93.21314,-10376438.9966,5610857.8191
"556",-10383102.3655,5618057.9168,"LIC48083","GROCERY","FRESH MARKET",40,"","7TH","ST","S","213","Minneapolis","MN","Hennepin",55402,"2202924430120",7,"Downtown West",44.978,-93.273,-10383102.3655,5618057.9168
"558",-10384733.7773,5613924.1209,"LIC40803","GROCERY","LOON EXPRESS",2801,"","LYNDALE","AVE","S","","Minneapolis","MN","Hennepin",55408,"3402924330176",10,"Whittier",44.95172,-93.28765,-10384733.7773,5613924.1209
"570",-10378450.458,5610053.7799,"LIC401971","GROCERY","FANNI'S MINI MARKET",2820,"","42ND","ST","E","","Minneapolis","MN","Hennepin",55406,"1202824140018",12,"Standish",44.92711,-93.23121,-10378450.458,5610053.7799
"571",-10377476.8654,5607582.4541,"LIC25976","GROCERY","OXENDALE'S MARKET",5025,"","34TH","AVE","S","","Minneapolis","MN","Hennepin",55417,"1802823310193",12,"Minnehaha",44.91139,-93.22246,-10377476.8654,5607582.4541
"573",-10381580.5935,5615610.1121,"LIC401202","GROCERY","HALAL HOUSE INC",1001,"","FRANKLIN","AVE","E","","Minneapolis","MN","Hennepin",55404,"3502924210273",6,"Ventura Village",44.96244,-93.25933,-10381580.5935,5615610.1121
"575",-10386579.8981,5618452.3264,"LIC30446","GROCERY","SKYLINE FOOD",1819,"","GLENWOOD","AVE","","","Minneapolis","MN","Hennepin",55405,"2102924330029",5,"Harrison",44.9805,-93.30423,-10386579.8981,5618452.3264
"581",-10385724.8852,5618505.3209,"LIC364631","GROCERY","HENRY & SON",1220,"","GLENWOOD","AVE","","","Minneapolis","MN","Hennepin",55405,"2102924420014",5,"Sumner - Glenwood",44.98084,-93.29655,-10385724.8852,5618505.3209
"585",-10385038.7171,5611753.0332,"LIC388868","GROCERY","KYLE'S MARKET",826,"","36TH","ST","W","","Minneapolis","MN","Hennepin",55408,"0402824410186",10,"South Uptown",44.93792,-93.29039,-10385038.7171,5611753.0332
"586",-10383324.6642,5617553.06,"LIC26846","GROCERY","TARGET CORP",900,"","NICOLLET MALL","","","","Minneapolis","MN","Hennepin",55402,"2702924129002",7,"Downtown West",44.97479,-93.27499,-10383324.6642,5617553.06
"587",-10383696.0527,5614287.0604,"LIC404091","GROCERY","GOOD GROCER",2650,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55408,"3402924310273",10,"Whittier",44.95403,-93.27833,-10383696.0527,5614287.0604
"589",-10380636.4112,5612589.9531,"LIC389487","FOODSHELF","JERICO ROAD MINISTRIES",1628,"","33RD","ST","E","","Minneapolis","MN","Hennepin",55407,"0202824140235",9,"Powderhorn Park",44.94324,-93.25084,-10380636.4112,5612589.9531
"590",-10380591.6788,5616901.7239,"LIC43606","FOODSHELF","PILLSBURY UNITED COMMUNITIES",420,"","15TH","AVE","S","","Minneapolis","MN","Hennepin",55454,"2602924140086",6,"Cedar Riverside",44.97065,-93.25044,-10380591.6788,5616901.7239
"591",-10382921.8691,5613358.4592,"LIC28462","GROCERY","DULCEMEX 2",325,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55408,"0302824110089",8,"Central",44.94812,-93.27137,-10382921.8691,5613358.4592
"594",-10385573.9571,5623057.2915,"LIC401237","FOODSHELF","BREAD OF LIFE",2900,"","FREMONT","AVE","N","","Minneapolis","MN","Hennepin",55411,"0902924420191",5,"Jordan",45.00975,-93.2952,-10385573.9571,5623057.2915
"597",-10380857.1123,5621706.2475,"LIC389486","FOODSHELF","GOOD WORK FOOD SHELF.",697,"","13TH","AVE","NE","","Minneapolis","MN","Hennepin",55413,"1402924130155",1,"Logan Park",45.00117,-93.25283,-10380857.1123,5621706.2475
"598",-10381983.7955,5611954.2589,"LIC38120","GROCERY","TONI'S MARKET",3508,"","CHICAGO","AVE","","","Minneapolis","MN","Hennepin",55407,"0202824320244",9,"Central",44.9392,-93.26295,-10381983.7955,5611954.2589
